epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.106,1.91142,3.89993,1.8351,0.01112,0.69602,0.03596,0.01334,1.70356,4.09275,1.69615,4.614e-05,4.614e-05,4.614e-05
2,71.7771,1.57152,3.79172,1.62679,0.0121,0.77368,0.04642,0.02072,1.46809,4.04778,1.46612,9.79906e-05,9.79906e-05,9.79906e-05
3,106.363,1.30342,3.60864,1.45259,0.0087,0.82546,0.06786,0.03059,1.39592,4.03199,1.43309,0.00014771,0.00014771,0.00014771
4,141.987,1.24278,3.53114,1.41897,0.00737,0.84706,0.09221,0.04495,1.37703,4.00319,1.42595,0.000195297,0.000195297,0.000195297
5,177.684,1.16714,3.29752,1.3439,0.00675,0.84908,0.09275,0.04756,1.32819,3.87193,1.39563,0.000240752,0.000240752,0.000240752
6,212.314,1.19809,3.07889,1.35485,0.00824,0.85241,0.11216,0.06087,1.31889,3.71206,1.37604,0.000284076,0.000284076,0.000284076
7,246.623,1.16951,2.89562,1.3119,0.01179,0.91399,0.15841,0.09147,1.30391,3.48377,1.35876,0.000325269,0.000325269,0.000325269
8,282.738,1.19621,2.89463,1.31085,0.30137,0.30841,0.17616,0.10479,1.27159,3.32955,1.32856,0.000364329,0.000364329,0.000364329
9,317.891,1.09667,2.78376,1.31501,0.47906,0.06777,0.1811,0.09911,1.47081,3.27173,1.4374,0.000401258,0.000401258,0.000401258
10,360.411,1.16478,2.69374,1.32106,0.46905,0.07026,0.18706,0.10428,1.55971,3.21267,1.48536,0.000436055,0.000436055,0.000436055
11,402.166,1.14213,2.59477,1.33324,0.32146,0.26147,0.2258,0.13219,1.43422,2.89338,1.41117,0.000468721,0.000468721,0.000468721
12,445.376,1.20414,2.50391,1.32276,0.37605,0.19189,0.23046,0.13695,1.33425,2.86554,1.31939,0.000499255,0.000499255,0.000499255
13,486.499,1.14396,2.42724,1.30768,0.37347,0.23359,0.23009,0.1327,1.37095,2.76257,1.32692,0.000527657,0.000527657,0.000527657
14,526.667,1.20009,2.40361,1.32979,0.31741,0.37709,0.24874,0.14744,1.37677,2.51652,1.33572,0.000553928,0.000553928,0.000553928
