Text: продолжение, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: а, Number: 24, Confidence: 0.39, Bbox: [18.936134338378906, 1645.4193115234375, 2286.95458984375, 2590.0]
Text: -с, Number: 24, Confidence: 0.39, Bbox: [18.936134338378906, 1645.4193115234375, 2286.95458984375, 2590.0]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: метод, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: авторадиографии, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: меченных, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: атомов, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: в, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: состав, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: вирусных, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: частиц, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: можно, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: водить, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: радиоактивных, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: креолы, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: километр, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: элементов, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: а, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: потом, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: то, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: их, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: покапаешь, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: вирусных, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: частиц, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: сюда, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
Text: за, Number: 22, Confidence: 0.36, Bbox: [40.698463439941406, 84.66376495361328, 2284.904541015625, 2205.8447265625]
