Text: растягиваются, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: стенки, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: заходов, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: преимущественно, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: вен, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: и, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: теряют, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: свою, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: грузе, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: этого, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: снимается, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: оказать, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: кровать, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: на, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: не, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: может, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: предмет, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: силу, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: тяжести, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: и, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: доставляется, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: в, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: lenax, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: низких, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: красивостей, Number: 22, Confidence: 0.33, Bbox: [39.019840240478516, 48.5218391418457, 2245.75048828125, 404.83038330078125]
Text: -с, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: древние, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: предки, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: сбритых, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: обитали, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: не, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: единой, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: материн, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: (гондеане),, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: который, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: распинался, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: на, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: в, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: крупные, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: материал, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: в, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: числе, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: цир, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: Австралии, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: и, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: юниор, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: Америку, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: года, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: -с, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: в, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: тате, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: распита, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: передни, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: современных, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: сумчатых, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: резу, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: в, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: верстанию, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: и, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: копали, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: Южную, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: валер, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: наречие, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: -с, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: в, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: результате, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: расплав, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
Text: уродки, Number: 24, Confidence: 0.43, Bbox: [17.317285537719727, 1826.0513916015625, 2306.566650390625, 2588.511962890625]
