Text: раба, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: -де, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: развитие, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: без, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: КУ, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: пое, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: развитие, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: без, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: гипюр, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: ертрихоза., Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: вперт, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: -с, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: В, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: первом, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: браке, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
