Text: нормальным, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: развитием, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: скелета, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: кисти, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: и, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: с, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: гипертрихозом, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: а, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: это, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: мальчик, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: дядька, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: Он, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: получил, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: которая, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: имеет, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: ген, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: гиперкуб, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: перпурич-хромосому, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: отца, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: -де, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: и, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: материнскую, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: воскл, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: малому, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: которая, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: не, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: имеет, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: аномалию, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: в, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: развитии, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: скелета, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: разви-, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: тии, Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
Text: скелета., Number: 24, Confidence: 0.45, Bbox: [10.282678604125977, 0.6552953720092773, 2267.728515625, 605.7017822265625]
