Text: что, Number: none, Confidence: none, Bbox: none
Text: он, Number: none, Confidence: none, Bbox: none
Text: получил, Number: none, Confidence: none, Bbox: none
Text: материнскую, Number: none, Confidence: none, Bbox: none
Text: гамету, Number: none, Confidence: none, Bbox: none
Text: Х, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: отцовскую, Number: none, Confidence: none, Bbox: none
Text: гамету, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Я, Number: none, Confidence: none, Bbox: none
Text: думаю, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: наиболее, Number: none, Confidence: none, Bbox: none
Text: древние, Number: none, Confidence: none, Bbox: none
Text: предки, Number: none, Confidence: none, Bbox: none
Text: современных, Number: none, Confidence: none, Bbox: none
Text: сумчатых, Number: none, Confidence: none, Bbox: none
Text: обитали, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: африке, Number: none, Confidence: none, Bbox: none
Text: потому, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: они, Number: none, Confidence: none, Bbox: none
Text: живут, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: жарк, Number: none, Confidence: none, Bbox: none
Text: жарких, Number: none, Confidence: none, Bbox: none
Text: странах, Number: none, Confidence: none, Bbox: none
