Text: количество, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: вирусных, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: частиц, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: какого, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: года, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: слова, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: апо, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: осина, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: Вова, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: увеличат, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: сказалось, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: во, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: всех, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: случаях, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: метод, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: позволяющий, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: определить, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: электронное, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: микроскопию, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: ваяние, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: общинности, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: жизненного, Number: 22, Confidence: 0.53, Bbox: [0.0, 1.9874987602233887, 2286.50634765625, 412.84661865234375]
Text: цикла, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: вируса, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: усложняющие, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: разработку, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: противовирусных, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: препаратов, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: -с, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: вирусы, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: очень, Number: 23, Confidence: 0.30, Bbox: [5.1472673416137695, 30.137907028198242, 2303.070068359375, 2590.0]
Text: быстро, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: размножаются, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: что, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: позволяет, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: им, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: быстро, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: приобретать, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: устойчивость, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: к, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: препаратам, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: так, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: повышается, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: доля, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: изменчивости, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: признак, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: отвечающий, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: за, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: устойчивость, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: быстро, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: появляется, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: и, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: распространяется, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: -с, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: вирусы, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: встраивают, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: свою, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: анкерка, Number: 23, Confidence: 0.30, Bbox: [5.1472673416137695, 30.137907028198242, 2303.070068359375, 2590.0]
Text: в, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: клетку, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: и, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: там, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: происходит, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: сборка, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
