Text: все, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: бланка, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: контрольные, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: измерительные, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: материалы, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: рассматриваются, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: в, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: (22), Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: Талой, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: контроле, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: является, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: неадекватным, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: там, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: как, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: отрицательный, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: контроль, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: не, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: должен, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: подтверждаться, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: экспериментальному, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: воздейподть, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: шествию, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: а, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: экспериментатор, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: добавил, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: через, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: часов, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: не, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: проверенное, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: противорисованный, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: препарат, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: в, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: в, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: тем, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: самым, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: катала, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: воздействовать, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: на, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: эксперимент, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: Можно, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: было, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: взять, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: ную, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: кругами, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: клетку, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: и, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: незаряженную, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: плетку, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: и, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: не, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: меняя, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: энную, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: остальные, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: условия, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: наблюдать, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: за, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: изменениями, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: плеток, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: года, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: Мы, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: не, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: можем, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: утверждать, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: что, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: тестируемый, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: препарат, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: разрушает, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: вирусные, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: частицы, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
Text: результат, Number: 24, Confidence: 0.32, Bbox: [4.293876647949219, 2226.50244140625, 2289.907958984375, 2590.0]
