Text: Инструмент, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: -с, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: это, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: фактор, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: историй, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: полотен, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: с, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: рождения, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: а, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: безусловный, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: рефлекс, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: оратор, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: которые, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: приобретается, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: на, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: женили, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: жизни, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: Безусловный, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: рефлекс, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: это, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: фактор, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: который, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: появляется, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: у, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: нас, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: в, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: печение, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: вый, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: жизни, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: Безусловный, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: рефлекс, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
