Text: нэ, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: а, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: х, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: х, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: ху, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: в, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: наречь, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: писал, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: клон, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: царица, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: наряда, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: Из, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: Ха, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: -с, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: xxaa, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: нории, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: запам, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: кист, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: а, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: ХУ, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: А, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: также, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: А, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: наречная, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: Анализ, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: киста, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: -с, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: наречь, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: наряда, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: м, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: наряжу, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: норма, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: ра, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: в, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: первом, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: браке, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: возможен, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: ребенок, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: с, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: ликером, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: приказом, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: и, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: нормальным, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: развитием, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: кисти, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: а, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: а, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: м, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: гипертрихоз, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
Text: нормы, Number: 28, Confidence: 0.85, Bbox: [31.943241119384766, 65.7825927734375, 2298.718505859375, 1633.6201171875]
