Text: no25, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: головному, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: мозгу, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: ва, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: шее, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: жирафа, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: длиннее, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: шей, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: человека, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: значит, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: и, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: давление, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: артерий, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: в, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: артериях, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: необходимое, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: для, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: транспорта, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: крови, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: к, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: голове, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: будет, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: больше, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: давление, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: в, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: артериях, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: человека, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: давление, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: оказываемое, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: на, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: каникулы, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: в, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: конечностях, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: жирафа, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: больше, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: а, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: из-за, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: вы, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: большей, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: массы, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: жирафа, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: более, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: нотная, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: соединительное, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: ткань, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: и, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: позволяет, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: предотвратить, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: повреждение, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: сосудов, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: Отечность, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: связана, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: с, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: большим, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: конечен, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: количеством, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: межклеточной, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: живности, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: Вызванное, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: большим, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: трех, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: притоком, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: крови, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: конечностям, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: no26., Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: современных, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: сумчатых, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: обитали, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: Предки, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: южной, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: америке, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: соединенной, Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
Text: австрашей., Number: 22, Confidence: 0.42, Bbox: [43.05831527709961, 12.15939712524414, 2292.985595703125, 1459.0167236328125]
