Text: либо, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: выше, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: изначальной, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: кокнет, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: -де, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: и, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: no3),, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: либо, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: одинаков, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: одинаковая, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: (no2)., Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: В, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: конце, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: визиров, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: что, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: в, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: оплота, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: -де, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: и, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: -с, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: вирусная, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: нагрузка, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: не, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: изменилась, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: а, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: в, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
