Text: раздражитель, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: а, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: институт, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: является, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: в, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: виде, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: поведения, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: которое, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: стремится, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: к, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: конкретному, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: результату, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: например, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: институт, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: самосохранения, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: у, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: животных, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: -де, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: Р, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: д, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: хох, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: условие, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: а, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: хапуг, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
Text: где, Number: 28, Confidence: 0.37, Bbox: [0.0, 325.65069580078125, 2190.77880859375, 2590.0]
