Text: сигнал, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: в, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: зрительный, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: центр, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: мозга, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: оттуда, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: ро, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: временной, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: связи, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: в, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: друг, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: другой, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: центр, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: Потом, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: сигнал, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: идет, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: продолен, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: торный, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: центр, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: безусловного, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: слюноотделительного, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
