Text: сформировались, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: в, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: ответ, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: на, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: какой-либо, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: раздражение, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: Органы, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: зрения, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: зрительный, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: нерв, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: головкой, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: мор, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: двигательный, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: нейрон, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: сгонные, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: жены, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: Длина, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: шел, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: у, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: жирафа, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: намного, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: больше, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: чем, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: у, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: человека, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: и, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: чис, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: чтобы, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: поддерживать, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: кровообращение, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: а, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: именно, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: род, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: развитие, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: движение, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: крови, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: ле, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: к, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: головному, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: моду, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: необходимо, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: хорам, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: высокое, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: артериальное, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: давление, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: Давление, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: крови, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: у, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: жирафов, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: больше, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: чем, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: у, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: человека, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: и, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
Text: для, Number: 22, Confidence: 0.61, Bbox: [17.235280990600586, 235.94589233398438, 2300.01513671875, 1164.849365234375]
