Text: 1/22., Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: -с, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: Такой, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: отрицательный, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: контроль, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: не, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: является, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: алекс, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: ватным, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: потому, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: что, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: ВИЧ, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: -с, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: неизлечимое, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: заболеем, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: заболев, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: ваяние, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: значит, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: его, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: невозможно, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: вылечить, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: никакими, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: лекарственными, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: препаратами, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: -с, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: В, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: качестве, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: отрицательного, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: контроля, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: нужно, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: было, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: посмотреть, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: на, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: голово, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: вирусных, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: частиц, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: после, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: -де, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: ч, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: и, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: затем, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: уже, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: внести, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: лекарственное, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: средство, Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: no28., Number: 22, Confidence: 0.42, Bbox: [29.287479400634766, 54.54957580566406, 2267.489990234375, 701.7991943359375]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: Мы, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: не, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: можем, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: утверждать, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: что, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: тестируемый, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: препарат, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: разрушает, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: частицы, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: так, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: ходе, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: опыта, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: мы, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: не, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: видим, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: уменьшения, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: количества, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: вирусных, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: частиц, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: образце, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: метод, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: эксперимент, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: разработку, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: противовирусных, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: препаратов, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: усложняют, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: такие, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: особенности, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: жизненного, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: никла, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: парусов, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: кап, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: неклеточная, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: форма, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: жизни, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: и, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: высокая, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: степень, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: распространения, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: и, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: заражения, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: вирусов, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: Безусловный, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
Text: рефлекс, Number: 22, Confidence: 0.36, Bbox: [13.969425201416016, 719.2227172851562, 2246.445556640625, 1528.2623291015625]
