Text: центр, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: головного, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: мозга, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: вставочный, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: нейрон, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: двигательный, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: нейрон, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: центр, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: слюноотделения, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: no25., Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: -с, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: Высокое, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: артериальное, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: давление, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: в, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: сонных, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: артериях, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: у, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: жирафа, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: связано, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: с, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: физиологией, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: его, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
Text: шей, Number: 22, Confidence: 0.67, Bbox: [24.73029899597168, 332.6623229980469, 2253.943359375, 1395.4168701171875]
