Text: 22.), Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: -с, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: Так, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: как, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: отрицательный, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: контроль, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: это, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: опыт, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: при, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: котором, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: изучаемый, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: объект, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: не, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: подвергается, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: экспериментальному, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: воздействию, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: исслед, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: веровать, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: неправильного, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
Text: применил, Number: 27, Confidence: 0.48, Bbox: [44.36656188964844, 466.95367431640625, 1858.79248046875, 1059.26318359375]
