Text: головня, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: князь, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: собаки, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: где, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: замерших, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: финишной, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: учили, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: -де, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: из, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: взбешенного, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: центра, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: по, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: выжленок, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: петрови, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: свисти, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: передал, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: нормы, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: лирное, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: в, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: отдел, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: головной, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: мозга, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: та, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: отвечают, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: за, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: за, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: смокоолуши, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: -де, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: Втори, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: слывущими, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: семеновский, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: определ, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: косвенно, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: л, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: мо, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: возна, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: мерцает, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: вервия, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: шерифе, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: к, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: смоквами, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: лицами, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: а, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: после, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: чего, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: начали, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: вопрешь, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: слюны, Number: 22, Confidence: 0.87, Bbox: [33.65644454956055, 1.4256317615509033, 2273.316650390625, 506.07037353515625]
Text: -де, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: -с, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: желаю, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: артериальной, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: давшие, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: выш, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: уловного, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: тк, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: шарф, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: шест, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: уш, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: гнию, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: -с, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: гуда, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: умело, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: Ишим, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: увеличил, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: высокое, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: давление, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: сонных, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: артериях, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: -с, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: Несение, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: давил, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: в, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: сонных, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: армиях, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: необходимо, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: ми, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: для, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: того, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: чтобы, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: кровь, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: роспуска, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: к, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: головному, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: молу, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: и, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: обогащала, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: чего, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: кислорода, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: дом, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: и, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: уку, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: улучшил, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: лютости, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: наши, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: великими, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: -с, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: тоже, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: увеличу, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: доверя, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: в, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: сонных, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: армиях, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: можно, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: поссо, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: из, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: за, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: увлекся, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: со, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: количества, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: сократит, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: ницца, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: мышцасердце, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: Соединительная, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: траль, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: вокруг, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: количеств, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: поскачешь, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: в, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: монетах, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: педфак, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: шесть, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: большую, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: плотность, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: апо, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: спасший, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: с, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: человеком, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: из, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: из-за, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: того, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: что, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: у, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: мира, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: погод, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: моторов, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: большое, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: давшие, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: дах, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: -с, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: Чтобы, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: не, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: повредить, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: конины, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: уколи, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: как, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: провело, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: сохлая, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: точным, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: согрели, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: точно, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: по, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: срамило, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: со, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: всеми, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: сосудом, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: прошли, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: упились, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
Text: ткали, Number: 22, Confidence: 0.35, Bbox: [42.711524963378906, 530.5528564453125, 2281.9208984375, 2590.0]
