Text: корейка, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: ал, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: в, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: клетку, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: хорошо, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: -с, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: поэтому, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: бель, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: вируса, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: не, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: повышает, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: на, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: развитие, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: заболевания, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: так, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: как, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: генетический, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: материал, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: останется, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: в, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
