Text: с, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: нормальным, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: развитием, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: кисти, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: и, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: с, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: гипертрихозом, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: в, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: генотипе, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: этого, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: ребенка, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: находятся, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: материнская, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: хромосома, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: несущая, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: рецессивный, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: аллель, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: а, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: ра, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: нормального, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: раз, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: развести, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: кисти, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: и, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: не, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: несущая, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: ген, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: гипертрихоза, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: и, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: отцовская, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: хромосома, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: образовавшаяся, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: результате, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: просыпговера, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: к, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: содержащая, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: рецессивный, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: кашель, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: нормального, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: развития, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: пистик, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: и, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: доминантный, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: емель, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: отвечала, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: щий, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: за, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: развитие, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: гипертрихоза, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: (с),, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: отвеча-, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: года, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: ющий, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: за, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: развитие, Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
Text: гипертрикоза., Number: 25, Confidence: 0.50, Bbox: [1.7663087844848633, 21.743925094604492, 2283.28125, 1116.3724365234375]
