Text: p.a., Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: -с, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: аномалия, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: норма, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: кисти, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: а, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: -с, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: -с, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: норма, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: а, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: -с, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: -с, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: амалия, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: кисти, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: корана, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: аномалия, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: кисти, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: норма, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: норма, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: норма, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: норма, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: норма, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: -с, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: генотипы, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: и, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: фенотипы, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: родителей, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: первого, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: поколения, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: хох, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: норма, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: норма, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: ХУ, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: аномалия, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: кисти, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: гипертрихоз, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: генотипы, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: и, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: фенотипы, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: потомств, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: а, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: а, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: женский, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: Джеком, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: искл, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: корма, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: норма, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: -с, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: аномалия, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: кисти, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: корма, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: а, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: английский, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: рук, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: гипертриказ);, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: -с, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: корма, Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: гипертрихоз, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: генотипы, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: и, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: скотины, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: родителей, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: второго, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: поколения, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: хох, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: панамами, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: кисти, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: по, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: армад, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: -с, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: норма, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: норма, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: генотипы, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: и, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: фенотипы, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: потомства, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: второго, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: поколения, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: кисти, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: женский, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: пол, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: -с, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: аномалия, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: рук, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: корма, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: -с, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: корма, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: корма, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: мужской, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: пол, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: аномалия, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: кисти, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: но, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: она, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: ху, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
