Text: поэтому, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: нет, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: возможности, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: воздействовать, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: на, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: рибосомы, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: для, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: остановки, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: их, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: размножения, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: -с, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: задание, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: -с, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: На, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: рисунке, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: А, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: изображен, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: безусловный, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: рефлекс, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: слюноотделения, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: и, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: отсутствует, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: раздражитель, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: -с, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: свет, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: г, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: продолговатом, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: мозге, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: -с, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: инстинкт, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: -с, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: сложная, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: врожденная, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: форма, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: состоящая, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: из, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: цепочки, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: нескольких, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: безусловных, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: рефлексов, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: Безусловный, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: рефлекс, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: более, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: простой, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: -с, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: рецепторы, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: зрительного, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: анализатора, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: реагируют, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
