Text: р-1-9=, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: 1-901, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: а, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: 0,99, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: частота, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: встречаемость, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: аллелям, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: А, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: в, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: популяции, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: р, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: -с, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: р, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: -с, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: 0,0001, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: а, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: -с, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
