Text: у, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: жирафов, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: сонных, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: артериях, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: наблюдается, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: высокое, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: артериальное, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: давление, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: так, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: как, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: шея, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: и, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: расположение, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: высоко, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: относительно, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: земли, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: У, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: шерифов, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: в, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: конечностях, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: соединительная, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: ткань, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: вокруг, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: капилляров, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: имеет, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: большую, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: плотность, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: так, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: как, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: тонкие, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: конечности, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: жирафа, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: безотносительно, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: твое, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: массивное, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: значит, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: большая, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: нагруз, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: на, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: конечности, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: поэтому, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: вокруг, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: капилляров, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: большая, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: плотно, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: плотность, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: что, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: вы, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: не, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
Text: было, Number: 22, Confidence: 0.32, Bbox: [64.49089813232422, 4.921260833740234, 2289.657958984375, 1290.1602783203125]
