Text: лепольносьсть, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: годного, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: ПОС, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: интенсивное, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: разумно, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: умножение, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: а, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: самовоспроизведение, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: или, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: мутационная, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: изменчивость, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: усложняет, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: разработку, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: противовирусных, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: препаратов, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: -де, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: Наиболее, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: древние, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: предки, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: этих, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: животных, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: возможно, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: обитали, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: в, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: доходном, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: климате, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: но, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: постепенно, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: начали, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: переходить, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: в, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: теплый, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: так, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: размеры, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: выбирающих, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
