Text: по, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: телу, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: поэтому, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: возрастает, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: давление, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: Соединительная, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: ткань, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: имеет, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: большую, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: плотность, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: чем, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: у, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: до, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: человека, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: так, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: как, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: у, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: жирафа, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: длинные, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: вытянутые, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: конечности, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: которые, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: должны, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: быть, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: хрупкими, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: и, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: ломкими, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: например, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: шея, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: она, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: должна, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: быть, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: прочной, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: и, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: ио, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: при, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: этом, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: и, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: эластичной, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: так, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: как, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: нужно, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: брать, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: пишу, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: и, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: с, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: земли, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: и, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: с, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: высокого, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: плодового, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: дерева, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: Чтобы, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: шал, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: не, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: ломалась, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: и, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: конечности, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: не, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: изнашивались, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: а, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: были, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: устойчивыми, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: выше, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: и, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: комфортными, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: соед, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: чтобы, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: чтобы, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: удовлетворить, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: Из-за, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: повышенного, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: артериального, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: давления, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: возьмет, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: отечность, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: венских, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
Text: конечностей, Number: 22, Confidence: 0.66, Bbox: [15.366466522216797, 27.99615478515625, 2293.126708984375, 949.7982788085938]
