Text: частота, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: встречаемость, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: логотипа, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: рецессивного, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: ад, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: а, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: 0,001, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: больные, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: частота, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: доминантного, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: носителей, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: биотипа, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: а, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: -с, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: 9301), Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: частота, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: промежуточного, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: горд, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: а, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: 0,0198, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: Эволюционный, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: фактор, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: дрейф, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: генов, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: эффект, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: основателя, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: Дано, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: -де, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: а, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: -с, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: в, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: развитии, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: рапа, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: а, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: ехав, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: решение, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
Text: норма/корма, Number: 28, Confidence: 0.81, Bbox: [35.05422592163086, 24.715972900390625, 2292.137451171875, 2590.0]
