Text: корня, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: (корпа),, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: харь, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: Жаном, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: карпа, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: алом, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: корча, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: нома, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: корма, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: харь, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: нормы, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: корм, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: анализ, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: скипетр, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: Ишим, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: морена, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: корма, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: скипетры, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: г, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: вариант, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: г, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: корана, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: ре, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: аналитична, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: корана, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: когда, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: ав, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: зв, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: кормов, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: корта, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: а, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: ухаб, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: норма, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: когда, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: нареча/корпа, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: ехав, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: Жаном, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: Порта, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: Жаном, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: аборта, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: парка, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: норма, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: В, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: первом, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: стране, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
