Text: -с, Number: none, Confidence: none, Bbox: none
Text: продолж, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: да, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: браке, Number: none, Confidence: none, Bbox: none
Text: возможно, Number: none, Confidence: none, Bbox: none
Text: рождение, Number: none, Confidence: none, Bbox: none
Text: ребенка, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: нормальным, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: гипертрихозом, Number: none, Confidence: none, Bbox: none
Text: аб, Number: none, Confidence: none, Bbox: none
Text: хауса, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: Такой, Number: none, Confidence: none, Bbox: none
Text: ребенок, Number: none, Confidence: none, Bbox: none
Text: поручается, Number: none, Confidence: none, Bbox: none
Text: путем, Number: none, Confidence: none, Bbox: none
Text: накроссоверной, Number: none, Confidence: none, Bbox: none
Text: газеты, Number: none, Confidence: none, Bbox: none
Text: шари, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: брустверной, Number: none, Confidence: none, Bbox: none
Text: залиты, Number: none, Confidence: none, Bbox: none
Text: отца, Number: none, Confidence: none, Bbox: none
Text: (уао),, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: сонных, Number: none, Confidence: none, Bbox: none
Text: артериях, Number: none, Confidence: none, Bbox: none
Text: жирафа, Number: none, Confidence: none, Bbox: none
Text: наблюдается, Number: none, Confidence: none, Bbox: none
Text: такое, Number: none, Confidence: none, Bbox: none
Text: высокое, Number: none, Confidence: none, Bbox: none
Text: артериальное, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: жирафа, Number: none, Confidence: none, Bbox: none
Text: длинна, Number: none, Confidence: none, Bbox: none
Text: шля, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: всем, Number: none, Confidence: none, Bbox: none
Text: чтобы, Number: none, Confidence: none, Bbox: none
Text: клеткам, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: поступало, Number: none, Confidence: none, Bbox: none
Text: досюгоцкое, Number: none, Confidence: none, Bbox: none
Text: голово, Number: none, Confidence: none, Bbox: none
Text: кислорода, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: током, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: нужен, Number: none, Confidence: none, Bbox: none
Text: сильный, Number: none, Confidence: none, Bbox: none
Text: напор, Number: none, Confidence: none, Bbox: none
Text: высокое, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: жирафов, Number: none, Confidence: none, Bbox: none
Text: длинные, Number: none, Confidence: none, Bbox: none
Text: ноги, Number: none, Confidence: none, Bbox: none
Text: который, Number: none, Confidence: none, Bbox: none
Text: выдерживают, Number: none, Confidence: none, Bbox: none
Text: весь, Number: none, Confidence: none, Bbox: none
Text: все, Number: none, Confidence: none, Bbox: none
Text: животного, Number: none, Confidence: none, Bbox: none
Text: Также, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: него, Number: none, Confidence: none, Bbox: none
Text: есть, Number: none, Confidence: none, Bbox: none
Text: копыта, Number: none, Confidence: none, Bbox: none
Text: которые, Number: none, Confidence: none, Bbox: none
Text: должны, Number: none, Confidence: none, Bbox: none
Text: быть, Number: none, Confidence: none, Bbox: none
Text: продымив, Number: none, Confidence: none, Bbox: none
Text: устойчивыми, Number: none, Confidence: none, Bbox: none
Text: Соединительная, Number: none, Confidence: none, Bbox: none
Text: ткань, Number: none, Confidence: none, Bbox: none
Text: имеет, Number: none, Confidence: none, Bbox: none
Text: мало, Number: none, Confidence: none, Bbox: none
Text: межклеточного, Number: none, Confidence: none, Bbox: none
Text: рыхлого, Number: none, Confidence: none, Bbox: none
Text: жидкого, Number: none, Confidence: none, Bbox: none
Text: вещевое, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: она, Number: none, Confidence: none, Bbox: none
Text: обеспечивает, Number: none, Confidence: none, Bbox: none
Text: устойчивость, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: тошнота, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: калпилиран, Number: none, Confidence: none, Bbox: none
Text: происходит, Number: none, Confidence: none, Bbox: none
Text: газообмен, Number: none, Confidence: none, Bbox: none
Text: который, Number: none, Confidence: none, Bbox: none
Text: очень, Number: none, Confidence: none, Bbox: none
Text: нужен, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: обесценив, Number: none, Confidence: none, Bbox: none
Text: клеток, Number: none, Confidence: none, Bbox: none
Text: ок, Number: none, Confidence: none, Bbox: none
Text: кислородом, Number: none, Confidence: none, Bbox: none
Text: Чтобы, Number: none, Confidence: none, Bbox: none
Text: паникеры, Number: none, Confidence: none, Bbox: none
Text: были, Number: none, Confidence: none, Bbox: none
Text: хорошо, Number: none, Confidence: none, Bbox: none
Text: защищены, Number: none, Confidence: none, Bbox: none
Text: они, Number: none, Confidence: none, Bbox: none
Text: окружены, Number: none, Confidence: none, Bbox: none
Text: плотно, Number: none, Confidence: none, Bbox: none
Text: тканью, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: шут, Number: none, Confidence: none, Bbox: none
Text: повредиться, Number: none, Confidence: none, Bbox: none
Text: пребольшой, Number: none, Confidence: none, Bbox: none
Text: нагрузке, Number: none, Confidence: none, Bbox: none
Text: человек, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: настолько, Number: none, Confidence: none, Bbox: none
Text: физически, Number: none, Confidence: none, Bbox: none
Text: активен, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: жираф, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: дотри, Number: none, Confidence: none, Bbox: none
Text: длительном, Number: none, Confidence: none, Bbox: none
Text: повышенном, Number: none, Confidence: none, Bbox: none
Text: актуальном, Number: none, Confidence: none, Bbox: none
Text: давлении, Number: none, Confidence: none, Bbox: none
Text: капилляры, Number: none, Confidence: none, Bbox: none
Text: нижних, Number: none, Confidence: none, Bbox: none
Text: конечностей, Number: none, Confidence: none, Bbox: none
Text: могут, Number: none, Confidence: none, Bbox: none
Text: повреждаться, Number: none, Confidence: none, Bbox: none
Text: тогда, Number: none, Confidence: none, Bbox: none
Text: вскипай, Number: none, Confidence: none, Bbox: none
Text: лимфатическая, Number: none, Confidence: none, Bbox: none
Text: система, Number: none, Confidence: none, Bbox: none
Text: нормализовавшее, Number: none, Confidence: none, Bbox: none
Text: ток, Number: none, Confidence: none, Bbox: none
Text: кровью, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: происходят, Number: none, Confidence: none, Bbox: none
Text: отекло, Number: none, Confidence: none, Bbox: none
Text: нижнем, Number: none, Confidence: none, Bbox: none
Text: конечностей, Number: none, Confidence: none, Bbox: none
Text: происходят, Number: none, Confidence: none, Bbox: none
Text: отеко, Number: none, Confidence: none, Bbox: none
Text: нижнем, Number: none, Confidence: none, Bbox: none
Text: конечностей, Number: none, Confidence: none, Bbox: none
