Text: сохранились, Number: 27, Confidence: 0.44, Bbox: [49.76688003540039, 54.229095458984375, 2271.60693359375, 260.6920166015625]
Text: всегда, Number: 27, Confidence: 0.44, Bbox: [49.76688003540039, 54.229095458984375, 2271.60693359375, 260.6920166015625]
Text: -с, Number: 27, Confidence: 0.44, Bbox: [49.76688003540039, 54.229095458984375, 2271.60693359375, 260.6920166015625]
Text: животные, Number: 27, Confidence: 0.44, Bbox: [49.76688003540039, 54.229095458984375, 2271.60693359375, 260.6920166015625]
Text: также, Number: 27, Confidence: 0.44, Bbox: [49.76688003540039, 54.229095458984375, 2271.60693359375, 260.6920166015625]
Text: принадлежности, Number: 27, Confidence: 0.44, Bbox: [49.76688003540039, 54.229095458984375, 2271.60693359375, 260.6920166015625]
Text: сумчатых, Number: 27, Confidence: 0.44, Bbox: [49.76688003540039, 54.229095458984375, 2271.60693359375, 260.6920166015625]
Text: животных, Number: 27, Confidence: 0.44, Bbox: [49.76688003540039, 54.229095458984375, 2271.60693359375, 260.6920166015625]
Text: расселиться, Number: 27, Confidence: 0.44, Bbox: [49.76688003540039, 54.229095458984375, 2271.60693359375, 260.6920166015625]
Text: по, Number: 27, Confidence: 0.44, Bbox: [49.76688003540039, 54.229095458984375, 2271.60693359375, 260.6920166015625]
Text: пищевой, Number: 27, Confidence: 0.44, Bbox: [49.76688003540039, 54.229095458984375, 2271.60693359375, 260.6920166015625]
Text: сухим, Number: 27, Confidence: 0.44, Bbox: [49.76688003540039, 54.229095458984375, 2271.60693359375, 260.6920166015625]
Text: влажным, Number: 27, Confidence: 0.44, Bbox: [49.76688003540039, 54.229095458984375, 2271.60693359375, 260.6920166015625]
Text: территории, Number: 27, Confidence: 0.44, Bbox: [49.76688003540039, 54.229095458984375, 2271.60693359375, 260.6920166015625]
Text: no28., Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: дано, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: здоровая, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: кисть, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: панамами, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: кисти, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: Аней, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: оволосенения, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: умной, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: раковины, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: ви, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: связаны, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: а, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: хромосомой, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: а, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: склепывание, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: брак, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: за, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: даровая, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: кисть, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: отсутствие, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: овологенения, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: раковины, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: хау, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: мести, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: гипсе, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: трихом, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
