Text: манкен, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: Данный, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: бланк, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: использовать, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: только, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: после, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: заполнения, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: волнения, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: обоих, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: листов, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: основного, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: бланка, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: ответов, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: -с, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: а, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: -с, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: на, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: возможно, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: -с, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: аб, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: норм, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: развитие, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: гиперкуб, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: хоз, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: Такой, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: ребенок, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: может, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: родиться, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: в, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: результате, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: слияния, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: за, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: матери, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: и, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: красковарной, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: билеты, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: усов, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: отца, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: ги-, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: леты, Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
Text: усв, Number: 25, Confidence: 0.31, Bbox: [18.853389739990234, 28.960634231567383, 2242.33642578125, 543.2996215820312]
Text: отца., Number: 24, Confidence: 0.60, Bbox: [2.629579544067383, 36.41718292236328, 2241.35302734375, 554.291748046875]
