Text: от, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: наличия, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: в, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: ней, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: лекарства, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: -с, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: для, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: правильной, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: постановки, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: отрицательного, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: необходимо, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: добавить, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: еще, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: одну, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: группу, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: которую, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: исследовать, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: ель, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: не, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: будет, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: добавлять, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: лекарственный, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: препарат, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: -с, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: скальные, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: условия, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: среды, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: необходимо, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: вставить, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: без, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: изменений, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: а, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: а, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: -с, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: да, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: можно, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: внесения, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: препарата, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: а, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: так, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: как, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: до, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: количество, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
