Text: Безусловный, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: рефлекс, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: слюноотделения, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: и, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: отсутствие, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: безразличного, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: раздражителя, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: отражены, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: на, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: хищные, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: а, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: -с, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: промежуточный, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: мор, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: безусловные, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: рефлексы, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: передаются, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: генетическими, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: -с, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: -с, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: анализатор, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: -с, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: центр, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: рефлекса, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: (прошенкуточный, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: -с, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: железа, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: спюновыделения;, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: -с, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: зрительный, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: -с, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: количество, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: крови, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: сердцем, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: и, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: размер, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: жирафа, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: больше, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: чем, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: у, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: человека, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: -с, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: Артериальное, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: давление, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: жирафа, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: выше, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: из-за, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: этого, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: соединительная, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: ткань, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: вокруг, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: капилляров, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: больше, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: плотности, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: -с, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: Большое, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: количество, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: воды, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: не, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: выводится, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: из, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: организма, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: замед, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: медленный, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: обмен, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
