Text: а, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: а, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: а, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: х, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: в, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: анормальная, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: нет, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: гипертрихоза, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: в, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: А, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: а, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: хв, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: ув-сномалия, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: развития, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: кисти, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: гипертрофию, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: а, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: архиву, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: анормальная, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: кисть, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: гипертрихоз, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: р, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: а, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: А, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: азов, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: а, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: а, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: х, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
Text: в, Number: 28, Confidence: 0.87, Bbox: [2.9114084243774414, 28.256494522094727, 2283.882568359375, 2173.88427734375]
