Text: подсознательный, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: уровне, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: безусловный, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: рефлекс, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: и, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: инстинкт, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: провоцируется, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: в, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: разных, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: частях, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: мозга, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: -с, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: Нервный, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: центр, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: центр, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: безголового, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: слюноотделительная, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: ного, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: рецептора, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: железа, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: сифоны, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: -с, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: У, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: штрафов, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: артерии, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: длиннее, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: и, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: больше, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: соответс, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: военно, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: артериальное, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: давление, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: выше, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: чем, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: у, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: человека, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: -с, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: так, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: у, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: жирафов, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: высокое, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: давление, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: ши, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: необходимо, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: плотная, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: соединительная, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: ткань, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: чтобы, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: например, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: не, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: порвались, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: -с, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: Отечность, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: может, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: возникать, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: из, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: жидкости, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: При, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: повышении, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: давление, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: из-за, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: большого, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: голово, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: явления, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: в, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: артериях, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: они, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: увеличившее, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: чикаются, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: что, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: проводят, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: к, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: приве, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: при, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: и, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: точности, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: -с, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: наиболее, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: заявление, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: обитали, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: в, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: австралиек, Number: 23, Confidence: 0.30, Bbox: [46.075439453125, 353.29510498046875, 2302.671875, 1773.1893310546875]
Text: что, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: стали, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: деп, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: а, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: а, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: а, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: а, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: а, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: b2+2pg+q, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: а, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: а, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: д, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: парт-, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
Text: нет, Number: 24, Confidence: 0.39, Bbox: [28.872764587402344, 1.0427483320236206, 2310.0, 505.0819091796875]
