Text: гогочу, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: изображен, Number: none, Confidence: none, Bbox: none
Text: под, Number: none, Confidence: none, Bbox: none
Text: рисунком, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: собака, Number: none, Confidence: none, Bbox: none
Text: питается, Number: none, Confidence: none, Bbox: none
Text: из-за, Number: none, Confidence: none, Bbox: none
Text: чего, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: врабатывается, Number: none, Confidence: none, Bbox: none
Text: слюни, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Без, Number: none, Confidence: none, Bbox: none
Text: Без, Number: none, Confidence: none, Bbox: none
Text: раза, Number: none, Confidence: none, Bbox: none
Text: раз, Number: none, Confidence: none, Bbox: none
Text: различный, Number: none, Confidence: none, Bbox: none
Text: раз, Number: none, Confidence: none, Bbox: none
Text: изобра, Number: none, Confidence: none, Bbox: none
Text: разбер, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: жен, Number: none, Confidence: none, Bbox: none
Text: неб, Number: none, Confidence: none, Bbox: none
Text: рисунком, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: свет, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: Олимпом, Number: none, Confidence: none, Bbox: none
Text: ки, Number: none, Confidence: none, Bbox: none
Text: достигает, Number: none, Confidence: none, Bbox: none
Text: глаз, Number: none, Confidence: none, Bbox: none
Text: собаки, Number: none, Confidence: none, Bbox: none
Text: она, Number: none, Confidence: none, Bbox: none
Text: собачеев, Number: none, Confidence: none, Bbox: none
Text: его, Number: none, Confidence: none, Bbox: none
Text: воспринимает, Number: none, Confidence: none, Bbox: none
Text: но, Number: none, Confidence: none, Bbox: none
Text: но, Number: none, Confidence: none, Bbox: none
Text: это, Number: none, Confidence: none, Bbox: none
Text: ни, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: чему, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: приводит, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: рефлекторный, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: безусловного, Number: none, Confidence: none, Bbox: none
Text: словно, Number: none, Confidence: none, Bbox: none
Text: отделительного, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
Text: расположен, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: рисунках, Number: none, Confidence: none, Bbox: none
Text: под, Number: none, Confidence: none, Bbox: none
Text: цифрой, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: инстинкт, Number: none, Confidence: none, Bbox: none
Text: регулирует, Number: none, Confidence: none, Bbox: none
Text: поведен, Number: none, Confidence: none, Bbox: none
Text: опреде, Number: none, Confidence: none, Bbox: none
Text: ленный, Number: none, Confidence: none, Bbox: none
Text: продолжительный, Number: none, Confidence: none, Bbox: none
Text: березок, Number: none, Confidence: none, Bbox: none
Text: времен, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: мол, Number: none, Confidence: none, Bbox: none
Text: безу, Number: none, Confidence: none, Bbox: none
Text: п, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: единый, Number: none, Confidence: none, Bbox: none
Text: описательный, Number: none, Confidence: none, Bbox: none
Text: контроль, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: являться, Number: none, Confidence: none, Bbox: none
Text: изжеванным, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: ка, Number: none, Confidence: none, Bbox: none
Text: обрасти, Number: none, Confidence: none, Bbox: none
Text: кланы, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: могут, Number: none, Confidence: none, Bbox: none
Text: очут, Number: none, Confidence: none, Bbox: none
Text: быть, Number: none, Confidence: none, Bbox: none
Text: взял, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: людей, Number: none, Confidence: none, Bbox: none
Text: которые, Number: none, Confidence: none, Bbox: none
Text: разным, Number: none, Confidence: none, Bbox: none
Text: сохранением, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: овеществить, Number: none, Confidence: none, Bbox: none
Text: определенный, Number: none, Confidence: none, Bbox: none
Text: контр, Number: none, Confidence: none, Bbox: none
Text: необходимо, Number: none, Confidence: none, Bbox: none
Text: весель, Number: none, Confidence: none, Bbox: none
Text: берег, Number: none, Confidence: none, Bbox: none
Text: ве-, Number: none, Confidence: none, Bbox: none
Text: ель-, Number: none, Confidence: none, Bbox: none
Text: берег, Number: none, Confidence: none, Bbox: none
