Text: изучить, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: вируса, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: эффективность, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: лекарственного, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: иммунодефицита, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: человека, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: препарата, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: против, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: Отрицательный, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: контроль, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: -с, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: количество, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: вирусных, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: частиц, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: каждые, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: -с, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: часов, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: -с, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: норм, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: развит, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: а, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: -с, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: у, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: не, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: р, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: д, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: х, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: -с, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: а, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: норм, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: без, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: гиперон, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: д, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: гиперон, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: а, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: разв, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: апертура, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: двух, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: гиперстен, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: -с, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: а, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: -с, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: -с, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: а, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: х, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: у, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: -с, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: р, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: х, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: ха, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: о, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: норм, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: разв, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: без, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: гиперстен, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: ход, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: от, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: В, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: первом, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: нормальным, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: браке, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: возможно, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: рождение, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: ребенка, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: а, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: развитием, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: кисти, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: и, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: Это, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: будет, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: мальчик, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: пришло, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: от, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: здоровой, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: мамы, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: от, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: отца, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: -де, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: нет, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: нельзя, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: утверждать, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: что, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: тестируемый, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: препарат, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: тестируемый, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
Text: препарат, Number: 28, Confidence: 0.75, Bbox: [35.91749954223633, 421.8146057128906, 2289.407470703125, 2590.0]
