Text: информацию, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: в, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: процессе, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: неизходеятельности,, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: это, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: увлажняет, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: противовирусных, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: препаратов, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: -с, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: -с, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: На, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: рисунке, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: А, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: отображен, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: безусловный, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: рефлекс, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: монот, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: беления, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: и, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: на, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: этом, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: же, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: рисунке, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: отсутствует, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: безразличный, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: разрешитель, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: рефлекторный, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: безусловного, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: слюноотделительного, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: рефлекса, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: расположен, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: в, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: продолговатом, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: мозге, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: с, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: Зрительный, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: рецептор, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: чувствительный, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: нейрон, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: двигатель, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: ный, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: нейрон, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: продолговатый, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: мозг, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: сгонная, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: исслед, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: У, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: глава, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: блинная, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: шея, Number: 22, Confidence: 0.39, Bbox: [20.735294342041016, 226.20028686523438, 2286.22021484375, 1167.460693359375]
Text: поэтому, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: чтобы, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: у, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: этого, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: или, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: нотного, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: хорошо, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: циркулировала, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: кровь, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: и, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: производится, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: обмен, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: между, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: тканями, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: и, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: органами, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: высокое, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: завис, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
