Text: такой, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: отрицательный, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: контроль, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: не, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: является, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: адекватным, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: потому, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: что, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: заражению, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: и, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: лечению, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: подверглись, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: все, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: клетки, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: но, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: ведь, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: отрицательный, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: контроль, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: не, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: должен, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: подвергаться, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: эксперимент, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: ту, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: Отрицательный, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: контроль, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: должен, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: быть, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: Исследователь, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: заразил, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: а, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: группу, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: пленок, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: Исследователе, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: заразил, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: и, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: ввел, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: препарат, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: во, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: вторую, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: группу, Number: 22, Confidence: 0.44, Bbox: [25.548368453979492, 13.487401962280273, 2305.2626953125, 975.332763671875]
Text: клеток, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: Поставить, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: вопрос, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: внесенные, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: препарат, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: не, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: влияет, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: на, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: количество, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: вирусных, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: частиц, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: в, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: в, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: образцах, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: при, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: сохранении, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: всех, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: остальных, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: условий, Number: 22, Confidence: 0.36, Bbox: [53.15846252441406, 480.9607238769531, 2284.952392578125, 1420.318359375]
Text: а, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: -с, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: а, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: -с, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: о, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: бортулигный, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: безусловные, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: рефлекс, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: изображен, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: на, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: рисунке, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: безуслов, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: раздражитель, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: отсутствует, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: на, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: рисунке, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: а, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: за, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: инстинкт, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: врожденная, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: защитная, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: реакция, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: на, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: раздражимость, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: а, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: безусловный, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: рефлекс, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: раздражимость, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: которую, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: можно, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: привить, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: со, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: временем, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: зрительный, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: рецепторную, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: нейронного, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: чувств, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: хлюпкая, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: слоны, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: про, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: Центр, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: рефлексов, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: в, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: продолговат, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: моего, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: про, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: Центр, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: рефлексов, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: находится, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: в, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: продолгователь, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
Text: моего, Number: 23, Confidence: 0.33, Bbox: [18.432004928588867, 1408.8294677734375, 2310.0, 2527.884765625]
