Text: схема, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: решения, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: ув, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: харь, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: шествие, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: отсутств, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: яствие, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: гипертрихоза, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: -с, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: Первая, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: едучи, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: ха, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: а, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: анормальное, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: развитие, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: кисти, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: отсутствие, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: гипюр, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: аномальное, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: развитие, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: кисти, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: гипертрихоз, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: -де, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: генотипы, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: возможных, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: ночей, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: нормальное, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: развития, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: раз, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: кисти, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: отсутствие, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: яствие, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: гипертрихоза, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: -с, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
Text: завитке, Number: 28, Confidence: 0.89, Bbox: [20.085433959960938, 74.56436157226562, 2249.32080078125, 2569.291015625]
