Text: нарушаться, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: газообмен, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: в, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: клетках, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: вследствие, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: чего, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: начинается, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: отвя, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: отек, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: кичения, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: которые, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: максимально, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: малень, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: от, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: сердца, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -де, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: Наиболее, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: древние, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: предки, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: обитали, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: в, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: африке, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: так, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: как, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: был, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: единый, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: математик, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: а, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: в, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: Африке, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: максимально, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: благоприятные, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: условия, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: жизни, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: закономерность, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: чем, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: суше, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: климат, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: и, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: меньше, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: растительности, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: тем, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: больше, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: размер, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: животного, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: Теория, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: единого, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: континенте, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: с, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: последующим, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: географическим, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: видообразованием, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -с, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: Анормальная, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: аллель, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: гостит, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: Р, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: а, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -с, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
