Text: глаз, Number: 25, Confidence: 0.30, Bbox: [0.0, 40.782997131347656, 2302.005859375, 303.8471374511719]
Text: чувствительный, Number: 25, Confidence: 0.30, Bbox: [0.0, 40.782997131347656, 2302.005859375, 303.8471374511719]
Text: нейрон, Number: 25, Confidence: 0.30, Bbox: [0.0, 40.782997131347656, 2302.005859375, 303.8471374511719]
Text: вставочный, Number: 25, Confidence: 0.30, Bbox: [0.0, 40.782997131347656, 2302.005859375, 303.8471374511719]
Text: нет, Number: 25, Confidence: 0.30, Bbox: [0.0, 40.782997131347656, 2302.005859375, 303.8471374511719]
Text: рон, Number: 25, Confidence: 0.30, Bbox: [0.0, 40.782997131347656, 2302.005859375, 303.8471374511719]
Text: двигательный, Number: 25, Confidence: 0.30, Bbox: [0.0, 40.782997131347656, 2302.005859375, 303.8471374511719]
Text: нейрон, Number: 25, Confidence: 0.30, Bbox: [0.0, 40.782997131347656, 2302.005859375, 303.8471374511719]
Text: сгонная, Number: 25, Confidence: 0.30, Bbox: [0.0, 40.782997131347656, 2302.005859375, 303.8471374511719]
Text: железа, Number: 25, Confidence: 0.30, Bbox: [0.0, 40.782997131347656, 2302.005859375, 303.8471374511719]
Text: -де, Number: 25, Confidence: 0.30, Bbox: [0.0, 40.782997131347656, 2302.005859375, 303.8471374511719]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: У, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: жирафов, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: в, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: сонной, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: артерии, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: наблюдается, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: такое, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: высокое, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: давление, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: так, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: как, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: из-за, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: большой, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: длины, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: их, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: шеи, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: крови, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: нужно, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: проделать, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: большое, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: расстояние, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: находясь, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: под, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: действием, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: силы, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
