Text: ав, Number: none, Confidence: none, Bbox: none
Text: непростое, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: ответ, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: первом, Number: none, Confidence: none, Bbox: none
Text: браке, Number: none, Confidence: none, Bbox: none
Text: рождение, Number: none, Confidence: none, Bbox: none
Text: ребенка, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: нормальным, Number: none, Confidence: none, Bbox: none
Text: листик, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: возможно, Number: none, Confidence: none, Bbox: none
Text: здрава, Number: none, Confidence: none, Bbox: none
Text: генотип, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: насвистываться, Number: none, Confidence: none, Bbox: none
Text: мальчика, Number: none, Confidence: none, Bbox: none
Text: благодаря, Number: none, Confidence: none, Bbox: none
Text: даря, Number: none, Confidence: none, Bbox: none
Text: прокосом, Number: none, Confidence: none, Bbox: none
Text: матери, Number: none, Confidence: none, Bbox: none
Text: порешай, Number: none, Confidence: none, Bbox: none
Text: бальное, Number: none, Confidence: none, Bbox: none
Text: развитие, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: Бо, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: но, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: будет, Number: none, Confidence: none, Bbox: none
Text: наследовать, Number: none, Confidence: none, Bbox: none
Text: аться, Number: none, Confidence: none, Bbox: none
Text: из-за, Number: none, Confidence: none, Bbox: none
Text: мы, Number: none, Confidence: none, Bbox: none
Text: прокосом, Number: none, Confidence: none, Bbox: none
Text: отца, Number: none, Confidence: none, Bbox: none
Text: котор, Number: none, Confidence: none, Bbox: none
Text: ора, Number: none, Confidence: none, Bbox: none
Text: загорая, Number: none, Confidence: none, Bbox: none
Text: или, Number: none, Confidence: none, Bbox: none
Text: несет, Number: none, Confidence: none, Bbox: none
Text: ет, Number: none, Confidence: none, Bbox: none
Text: слизывание, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: номер, Number: none, Confidence: none, Bbox: none
Text: зацепний, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Такой, Number: none, Confidence: none, Bbox: none
Text: отрицательной, Number: none, Confidence: none, Bbox: none
Text: контроль, Number: none, Confidence: none, Bbox: none
