Text: гантели, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: олипсисполи, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: ПОКО, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: ПОСЛЕ, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: заползти, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: гетеропластик, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: организмов, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: с, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: нормальный, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: синонимичным, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: обменом, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: (10), Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: номер, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: защитил, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: -с, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: -с, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: -с, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: У, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: жирафов, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: в, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: сонных, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: артериях, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: наголодается, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: такое, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: высокое, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: артериальное, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: давление, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: так, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
