Text: до, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: внесения, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: тестируемого, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: препарата, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: и, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: после, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: практически, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: не, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: изменяется, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: биохимический, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: Когда, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: вирусная, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: ринк, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: проникает, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: клетку, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: организма, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: чтобы, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: встроить, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: свою, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: вирусную, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: мистическую, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: информацию, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: то, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: при, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: трансляции, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: могут, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: возникать, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: ошибки, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: новый, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: штамм, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: вируса, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: Когда, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: вирусная, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: анк, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: встраивает, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: свою, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: генетическую, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: информацию, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: анк, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: клетки, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: при, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: трансляции, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: могут, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: возникать, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: ошибки, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: поругаются, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: новый, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: штат, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: вируса, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: р, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: х, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: х, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: х, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: НОРМАЛЬНОЕ, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: РАЗВИТИЕ, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: п, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: п, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: УП, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: АНОМАЛИЯ, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: РАЗВИТИЯ, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: ГИПЕРТРИХОЗ, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: (ax), Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: закуп, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: -де, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: АНОМАЛИЯ, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: РАЗВИТИЯ, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: кости, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: НЕТ, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: ГИПЕРТРИХОЗА, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: аба, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: ху, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: АНОМАЛИЯ, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
