Text: представляющая, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: собой, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: простоя, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: действие, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: в, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: то, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: время, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: как, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: инстинктболее, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: последовательность, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: действий, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: запускающаяся, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: самостоятельно, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: в, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: определенный, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: момент, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: времени, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: -с, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: а, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: проявление, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: безусловного, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: рефлекса, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: слюна, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: выделяется, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: при, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: кормлении, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: а, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: демонстрация, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: условного, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: посигналь, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: включение, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: лампы, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
