Text: пройти, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: путь, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: путь, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: по, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: длинной, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: шее, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: и, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: по, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: равнению, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: с, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: четовоседняя, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: человеческой, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: Соединительная, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: школа, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: конечностях, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: тираде, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: взлезает, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: их, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: от, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: большим, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: перегрева, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: служит, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: досолки, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: источником, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: метаболической, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: Повышенное, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: давление, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: не, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: позволяет, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: нормально, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: отводить, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: жидкость, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: собирается, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: в, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: механизмом, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: пространстве, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: скапливаясь, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: конечностях, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: -де, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: -с, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
