Text: буж, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: Р, Number: none, Confidence: none, Bbox: none
Text: посей, Number: none, Confidence: none, Bbox: none
Text: ехав, Number: none, Confidence: none, Bbox: none
Text: ехав, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: вербальные, Number: none, Confidence: none, Bbox: none
Text: ушные, Number: none, Confidence: none, Bbox: none
Text: раковины, Number: none, Confidence: none, Bbox: none
Text: аномальное, Number: none, Confidence: none, Bbox: none
Text: развитие, Number: none, Confidence: none, Bbox: none
Text: разини, Number: none, Confidence: none, Bbox: none
Text: косно, Number: none, Confidence: none, Bbox: none
Text: хозя, Number: none, Confidence: none, Bbox: none
Text: нормальные, Number: none, Confidence: none, Bbox: none
Text: мозольное, Number: none, Confidence: none, Bbox: none
Text: видимые, Number: none, Confidence: none, Bbox: none
Text: ланолин, Number: none, Confidence: none, Bbox: none
Text: название, Number: none, Confidence: none, Bbox: none
Text: кисни, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: кроссов, Number: none, Confidence: none, Bbox: none
Text: ехав, Number: none, Confidence: none, Bbox: none
Text: аль, Number: none, Confidence: none, Bbox: none
Text: УА, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: дочери, Number: none, Confidence: none, Bbox: none
Text: хв.х.х.-, Number: none, Confidence: none, Bbox: none
Text: нормальные, Number: none, Confidence: none, Bbox: none
Text: видимые, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: нормальное, Number: none, Confidence: none, Bbox: none
Text: развитие, Number: none, Confidence: none, Bbox: none
Text: писем, Number: none, Confidence: none, Bbox: none
Text: ехав, Number: none, Confidence: none, Bbox: none
Text: ХАЗ, Number: none, Confidence: none, Bbox: none
Text: портальные, Number: none, Confidence: none, Bbox: none
Text: видимые, Number: none, Confidence: none, Bbox: none
Text: раковины, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: шатался, Number: none, Confidence: none, Bbox: none
Text: развития, Number: none, Confidence: none, Bbox: none
Text: кисни, Number: none, Confidence: none, Bbox: none
Text: хатькормальные, Number: none, Confidence: none, Bbox: none
Text: муслине, Number: none, Confidence: none, Bbox: none
Text: раковины, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: развития, Number: none, Confidence: none, Bbox: none
Text: пискни, Number: none, Confidence: none, Bbox: none
Text: ехав, Number: none, Confidence: none, Bbox: none
Text: хавпотмальные, Number: none, Confidence: none, Bbox: none
Text: ушные, Number: none, Confidence: none, Bbox: none
Text: раввины, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: нормальное, Number: none, Confidence: none, Bbox: none
Text: развитие, Number: none, Confidence: none, Bbox: none
Text: сыновья, Number: none, Confidence: none, Bbox: none
Text: хл, Number: none, Confidence: none, Bbox: none
Text: подвальные, Number: none, Confidence: none, Bbox: none
Text: длинные, Number: none, Confidence: none, Bbox: none
Text: воловины, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: номинальное, Number: none, Confidence: none, Bbox: none
Text: развитие, Number: none, Confidence: none, Bbox: none
Text: кисни, Number: none, Confidence: none, Bbox: none
Text: ехав, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: нормальные, Number: none, Confidence: none, Bbox: none
Text: мутные, Number: none, Confidence: none, Bbox: none
Text: раковины, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: нормальное, Number: none, Confidence: none, Bbox: none
Text: развитие, Number: none, Confidence: none, Bbox: none
Text: кисни, Number: none, Confidence: none, Bbox: none
Text: аф, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: видимые, Number: none, Confidence: none, Bbox: none
Text: раковины, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: портальное, Number: none, Confidence: none, Bbox: none
Text: развитие, Number: none, Confidence: none, Bbox: none
Text: пист, Number: none, Confidence: none, Bbox: none
Text: жив, Number: none, Confidence: none, Bbox: none
Text: упав, Number: none, Confidence: none, Bbox: none
Text: уп, Number: none, Confidence: none, Bbox: none
Text: нормальные, Number: none, Confidence: none, Bbox: none
Text: раввины, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: аксиальные, Number: none, Confidence: none, Bbox: none
Text: развитие, Number: none, Confidence: none, Bbox: none
Text: пистик, Number: none, Confidence: none, Bbox: none
Text: развитие, Number: none, Confidence: none, Bbox: none
Text: пист, Number: none, Confidence: none, Bbox: none
Text: жив, Number: none, Confidence: none, Bbox: none
Text: упв., Number: none, Confidence: none, Bbox: none
Text: уп.-, Number: none, Confidence: none, Bbox: none
Text: кормальные, Number: none, Confidence: none, Bbox: none
Text: ушные, Number: none, Confidence: none, Bbox: none
Text: раневины, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: алюксальные, Number: none, Confidence: none, Bbox: none
Text: развитие, Number: none, Confidence: none, Bbox: none
Text: писти., Number: none, Confidence: none, Bbox: none
