Text: вирусные, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: частицы, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: а, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: только, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: замедляет, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: их, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: размножение, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: Для, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: установления, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: влияния, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: препарата, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: на, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: целостность, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: вирусных, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: частиц, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: необхонеобходимо, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: вирус, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: и, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: добавить, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: к, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: нему, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: препарат, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: таким, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: образом, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: по, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: изменению, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: количества, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: вирусных, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: частиц, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: в, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: этой, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: изолированной, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: среде, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: или, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: по, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: отсутствию, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: этих, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: изменений, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: можно, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: будет, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: говорить, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: о, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: влиянии, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: препарата, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: на, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: целостность, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: вирусных, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: частиц, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
Text: Разработку, Number: 24, Confidence: 0.31, Bbox: [23.933225631713867, 238.63143920898438, 2289.610107421875, 2195.928466796875]
