Text: слюноотделения, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: и, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: отсутствует, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: безразличный, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: раздражитель, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: Без, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: условный, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: дефлексприобретайные, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: привычек, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: непроизвольные, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: действия, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: их, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: накапливаемые, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: в, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: течении, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: всей, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: жизни, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: инстинкты, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: врожденные, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: привычки, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: непроизвольные, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: действия, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: -с, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: Вероятно, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: у, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: это, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: древние, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: сумчатые, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: обитали, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: в, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: африке, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: так, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: имена, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: там, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: заладилось, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: большинство, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: животных, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: В, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: основе, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: биографической, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: закономерности, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: в, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: расселении, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: сумчатых, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: лежит, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: геологическая, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: теория, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: скутер, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: континента, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: ангел, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: который, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: последствии, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
