Text: мая, Number: none, Confidence: none, Bbox: none
Text: Добавление, Number: none, Confidence: none, Bbox: none
Text: через, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: часов, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: плеткам, Number: none, Confidence: none, Bbox: none
Text: противовирусного, Number: none, Confidence: none, Bbox: none
Text: купленного, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: аптеке, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: является, Number: none, Confidence: none, Bbox: none
Text: адекватным, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: изучаемый, Number: none, Confidence: none, Bbox: none
Text: объект, Number: none, Confidence: none, Bbox: none
Text: клетки, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: заряженные, Number: none, Confidence: none, Bbox: none
Text: вирусом, Number: none, Confidence: none, Bbox: none
Text: иммунодефицита, Number: none, Confidence: none, Bbox: none
Text: подвергаются, Number: none, Confidence: none, Bbox: none
Text: воздействию, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: имеющего, Number: none, Confidence: none, Bbox: none
Text: определенный, Number: none, Confidence: none, Bbox: none
Text: состав, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: действие, Number: none, Confidence: none, Bbox: none
Text: Эксперимент, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: будет, Number: none, Confidence: none, Bbox: none
Text: проконтролирован, Number: none, Confidence: none, Bbox: none
Text: ведь, Number: none, Confidence: none, Bbox: none
Text: изначально, Number: none, Confidence: none, Bbox: none
Text: зараженные, Number: none, Confidence: none, Bbox: none
Text: плетки, Number: none, Confidence: none, Bbox: none
Text: уже, Number: none, Confidence: none, Bbox: none
Text: обработаны, Number: none, Confidence: none, Bbox: none
Text: лекарственным, Number: none, Confidence: none, Bbox: none
Text: препаратом, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: индивидуальным, Number: none, Confidence: none, Bbox: none
Text: химическим, Number: none, Confidence: none, Bbox: none
Text: составом, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: отрицательного, Number: none, Confidence: none, Bbox: none
Text: контроля, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: измерять, Number: none, Confidence: none, Bbox: none
Text: наличествуй, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: образце, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: добавляя, Number: none, Confidence: none, Bbox: none
Text: лекарственных, Number: none, Confidence: none, Bbox: none
Text: средств, Number: none, Confidence: none, Bbox: none
Text: Таким, Number: none, Confidence: none, Bbox: none
Text: образом, Number: none, Confidence: none, Bbox: none
Text: экспериментатор, Number: none, Confidence: none, Bbox: none
Text: сможет, Number: none, Confidence: none, Bbox: none
Text: сделать, Number: none, Confidence: none, Bbox: none
Text: точный, Number: none, Confidence: none, Bbox: none
Text: вывод, Number: none, Confidence: none, Bbox: none
Text: о, Number: none, Confidence: none, Bbox: none
Text: эффективности, Number: none, Confidence: none, Bbox: none
