Text: кровеносные, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: -с, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: Когда, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: при, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: длительном, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: повышенном, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: давлении, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: будут, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: занимать, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: дольше, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: места, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: утолщаться, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: в, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: размерах, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: в, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: результате, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: чего, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: может, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: быть, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: затруднен, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: проход, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: тканевой, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: жидкости, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: из-за, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: чего, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: и, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: возникает, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: отек, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: -де, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
Text: -с, Number: 22, Confidence: 0.63, Bbox: [31.690311431884766, 1.5057220458984375, 2278.248291015625, 374.39898681640625]
