Text: пестики, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: возможных, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: сыновей, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: А, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: аномалии, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: развития, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: кисти, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: отсутствие, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: отсутствие, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: панамами, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: в, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: развитии, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: кисти, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: отсутствие, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: гипертрихоза, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: неприятия, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: -с, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: да, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: возможно, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: В, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: его, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: генотипе, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: будет, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: х, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: хромосома, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: матери, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: с, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: рецессивным, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: аллелям, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: гамаши, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: развитии, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
