Text: Так, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: как, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: рецессивный, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: очен, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: гипертрихоза, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: передался, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: ребенку, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: от, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: папы, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: отца, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: а, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: от, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: матери, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: передался, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: доминантный, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: ген, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: здоровой, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: кисти, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: фенотипы, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: -с, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: здоровая, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: кисть, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
Text: нет, Number: 23, Confidence: 0.38, Bbox: [44.241947174072266, 68.16381072998047, 2310.0, 1783.33837890625]
