Text: верхнюю, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: часто, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: тела, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: на, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: и, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: на, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: все, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: конечности, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: и, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: органы, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: для, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: того, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: что, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: бы, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: не, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: было, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: внутренних, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: протетический, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: соединительная, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: ткань, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: и, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: стала, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: плотной, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: вокруг, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: населенияров., Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: -де, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: кушает, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: -с, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: Нельзя, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: утверждать, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: что, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: тестируемый, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: препарат, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: разрушаем, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: вирусные, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: частицы, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: так, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: недержание, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: вирусных, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
