Text: не, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: вводить, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: вообще, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: Дополнение, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: к, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: купу, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: -с, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: -с, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: задания, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: Кроме, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: того, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: вечереет, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: часто, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: мутируют, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: используя, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: генетический, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: материал, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: инъецированного, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: Из-за, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: этого, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: ранее, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: изобретенная, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: лекарства, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: может, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: быть, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: не, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: эффективно, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: в, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
Text: будущем, Number: 24, Confidence: 0.47, Bbox: [71.2626953125, 46.020111083984375, 2310.0, 823.3224487304688]
