Text: нута, Number: none, Confidence: none, Bbox: none
Text: Во, Number: none, Confidence: none, Bbox: none
Text: избежание, Number: none, Confidence: none, Bbox: none
Text: разрывов, Number: none, Confidence: none, Bbox: none
Text: этой, Number: none, Confidence: none, Bbox: none
Text: ткани, Number: none, Confidence: none, Bbox: none
Text: капилляров, Number: none, Confidence: none, Bbox: none
Text: они, Number: none, Confidence: none, Bbox: none
Text: капилляры, Number: none, Confidence: none, Bbox: none
Text: утолщены, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: При, Number: none, Confidence: none, Bbox: none
Text: высоком, Number: none, Confidence: none, Bbox: none
Text: артериальном, Number: none, Confidence: none, Bbox: none
Text: давлении, Number: none, Confidence: none, Bbox: none
Text: просвет, Number: none, Confidence: none, Bbox: none
Text: сосудов, Number: none, Confidence: none, Bbox: none
Text: сужается, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: уменьшает, Number: none, Confidence: none, Bbox: none
Text: скорость, Number: none, Confidence: none, Bbox: none
Text: движения, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: китаист, Number: none, Confidence: none, Bbox: none
Text: части, Number: none, Confidence: none, Bbox: none
Text: тела, Number: none, Confidence: none, Bbox: none
Text: из-за, Number: none, Confidence: none, Bbox: none
Text: недостатка, Number: none, Confidence: none, Bbox: none
Text: прививания, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: нит, Number: none, Confidence: none, Bbox: none
Text: ным, Number: none, Confidence: none, Bbox: none
Text: конечностям, Number: none, Confidence: none, Bbox: none
Text: особенно, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: сидячем, Number: none, Confidence: none, Bbox: none
Text: положений, Number: none, Confidence: none, Bbox: none
Text: могут, Number: none, Confidence: none, Bbox: none
Text: отекать, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Раньше, Number: none, Confidence: none, Bbox: none
Text: существовал, Number: none, Confidence: none, Bbox: none
Text: всего, Number: none, Confidence: none, Bbox: none
Text: един, Number: none, Confidence: none, Bbox: none
Text: континент, Number: none, Confidence: none, Bbox: none
Text: затем, Number: none, Confidence: none, Bbox: none
Text: он, Number: none, Confidence: none, Bbox: none
Text: разделялся, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: делился, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: более, Number: none, Confidence: none, Bbox: none
Text: сухие, Number: none, Confidence: none, Bbox: none
Text: жаркие, Number: none, Confidence: none, Bbox: none
Text: холодные, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: влажные, Number: none, Confidence: none, Bbox: none
Text: места, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: предположу, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: предки, Number: none, Confidence: none, Bbox: none
Text: современных, Number: none, Confidence: none, Bbox: none
Text: сумчатых, Number: none, Confidence: none, Bbox: none
Text: жили, Number: none, Confidence: none, Bbox: none
Text: теплом, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: климате, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Объясню, Number: none, Confidence: none, Bbox: none
Text: это, Number: none, Confidence: none, Bbox: none
Text: тем, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: современнее, Number: none, Confidence: none, Bbox: none
Text: животные, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: далеко, Number: none, Confidence: none, Bbox: none
Text: ушли, Number: none, Confidence: none, Bbox: none
