Text: ся, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: новые, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: штаммы, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: против, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: которых, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: старые, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: препараты, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: становятся, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: неэффективными, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: no24, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: Безусловный, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: рефлекс, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: после, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: преобразования, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: химического, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: сигнала, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: в, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: электронный, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: импульс, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: в, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: рецепторе, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: проведения, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: его, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: сначала, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: в, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: центр, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: слюноотделения, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: в, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: инс, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: а, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: затем, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: к, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
