Text: проводниковый, Number: none, Confidence: none, Bbox: none
Text: отдел, Number: none, Confidence: none, Bbox: none
Text: слюноотделительного, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
Text: рабочий, Number: none, Confidence: none, Bbox: none
Text: орган, Number: none, Confidence: none, Bbox: none
Text: слюнные, Number: none, Confidence: none, Bbox: none
Text: железы, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Жирафы, Number: none, Confidence: none, Bbox: none
Text: больше, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: размерах, Number: none, Confidence: none, Bbox: none
Text: чем, Number: none, Confidence: none, Bbox: none
Text: человек, Number: none, Confidence: none, Bbox: none
Text: поэтому, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: них, Number: none, Confidence: none, Bbox: none
Text: циркулирует, Number: none, Confidence: none, Bbox: none
Text: больший, Number: none, Confidence: none, Bbox: none
Text: объем, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: полке, Number: none, Confidence: none, Bbox: none
Text: длинным, Number: none, Confidence: none, Bbox: none
Text: сосудам, Number: none, Confidence: none, Bbox: none
Text: Исходя, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: этого, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: жирафов, Number: none, Confidence: none, Bbox: none
Text: намного, Number: none, Confidence: none, Bbox: none
Text: выше, Number: none, Confidence: none, Bbox: none
Text: артериальное, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: чтобы, Number: none, Confidence: none, Bbox: none
Text: перекачивать, Number: none, Confidence: none, Bbox: none
Text: больше, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: то, Number: none, Confidence: none, Bbox: none
Text: же, Number: none, Confidence: none, Bbox: none
Text: время, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Соединительная, Number: none, Confidence: none, Bbox: none
Text: ткань, Number: none, Confidence: none, Bbox: none
Text: вокруг, Number: none, Confidence: none, Bbox: none
Text: капилляров, Number: none, Confidence: none, Bbox: none
Text: нужна, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: предотвращения, Number: none, Confidence: none, Bbox: none
Text: разрывов, Number: none, Confidence: none, Bbox: none
Text: этих, Number: none, Confidence: none, Bbox: none
Text: кровельных, Number: none, Confidence: none, Bbox: none
Text: сосудов, Number: none, Confidence: none, Bbox: none
Text: из-за, Number: none, Confidence: none, Bbox: none
Text: внешних, Number: none, Confidence: none, Bbox: none
Text: воздействий, Number: none, Confidence: none, Bbox: none
Text: или, Number: none, Confidence: none, Bbox: none
Text: высокого, Number: none, Confidence: none, Bbox: none
Text: давления, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: внутри, Number: none, Confidence: none, Bbox: none
Text: друзья, Number: none, Confidence: none, Bbox: none
Text: каникул, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Так, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: жирафов, Number: none, Confidence: none, Bbox: none
Text: выше, Number: none, Confidence: none, Bbox: none
Text: артериальное, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: чем, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: прови, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: капиллярах, Number: none, Confidence: none, Bbox: none
Text: тоже, Number: none, Confidence: none, Bbox: none
Text: выше, Number: none, Confidence: none, Bbox: none
Text: поэтому, Number: none, Confidence: none, Bbox: none
Text: выше, Number: none, Confidence: none, Bbox: none
Text: нагрузка, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: стенки, Number: none, Confidence: none, Bbox: none
Text: сосудов, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: путана, Number: none, Confidence: none, Bbox: none
Text: более, Number: none, Confidence: none, Bbox: none
Text: плотная, Number: none, Confidence: none, Bbox: none
Text: соединительная, Number: none, Confidence: none, Bbox: none
Text: ткань, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: защиты, Number: none, Confidence: none, Bbox: none
Text: капилляров, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: разрывов, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: людей, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: патологическом, Number: none, Confidence: none, Bbox: none
Text: повышенном, Number: none, Confidence: none, Bbox: none
Text: артериальном, Number: none, Confidence: none, Bbox: none
Text: давлении, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: протяжении, Number: none, Confidence: none, Bbox: none
Text: длительного, Number: none, Confidence: none, Bbox: none
