Text: (24)., Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: -с, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: рефлекторного, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: безусловного, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: тента, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: мыслительного, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: -с, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: инстинкт, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: появляется, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: с, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: рождения, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: и, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: не, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: редут, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: и, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: контролируется, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: литром, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: головного, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: зелена, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: кропление, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: птицы, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: за, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: света, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: -де, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: -с, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: значение, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: свет, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
