Text: делительная, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: железа, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: То, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: такое, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: давление, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: обусловлено, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: тем, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: что, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: изза, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: конечности, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: требуется, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: большее, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: давление, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: доставки, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: кислорода, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: через, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: кровь, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: к, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: одеждам, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: и, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: обратно, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: -с, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: -с, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: Для, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: давления, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: крови, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: их, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
