Text: драл, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: истерия, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: toera, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: -с, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: бесшовный, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: ребенки, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: стоитрепения, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: и, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: отсутствие, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: безразличного, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: разлаженная, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: отображено, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: на, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: разочке, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: РА, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: рефлекторный, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: центр, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: худенького, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: слюноотделения, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: расположен, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: председа, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: том, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: море, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: Различил, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: между, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: бездельным, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: рефлексом, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: и, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: институтам, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: меня, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: так, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: два, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: они, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: желтеются, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: на, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: на, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: бревне, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: первой, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
