Text: 1)нуависимая, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: (задовремя, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: экспериментатором, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: пушеннаядобавление, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: ного, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: средства, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: Зависимая, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: гума, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: удлиняющаяся, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: в, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: эксперименте, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: переменнаяколичет-, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: во, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: час, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: контроль, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: является, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: адекватным, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: так, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: не, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: заесться, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: в, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: явной, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: меде, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: установить, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: зависимость, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: количестве, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: вирусных, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: вых, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: частиц, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: отку, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: от, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: добавление, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: лекарственного, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: сфера, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: -с, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: копательный, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: контроль, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: гуливать, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: членство, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: вирусных, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: частиц, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: грусть, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: влияние, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
